"","mean","min","max"
"beta",4.16874124740339,0.87774742522659,8.05348881301445
"eta_11",1.31268322647685,0.276551686160458,3.8280673084474
"q0",0.759091972494946,0.283294430805789,1.14903581434692
"e0",0.250305584286355,0.156899268357604,0.373710471083803
"fc",0.698482421739926,0.394509596778571,0.992131843095302
"delay",0.415677295883923,0.0798758640115061,1.16499232602895
"tmax_error",2.01839902446307,0.133781882309446,6.77962942423305
"u0_error",0,0,0
"zeta",0,0,0
"lp__",0,0,0
