"","Litter_fine.roots.needles","Litter_branches"
"1",NA,NA
"2",NA,NA
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",NA,NA
"11",NA,NA
"12",155.393129004259,16.5703079670412
"13",162.209179249219,17.3610275498992
"14",169.439778077093,18.2042290081569
"15",177.112760041834,19.1038329435525
"16",185.257894553504,20.0640713992023
"17",193.907014952661,21.0895127632975
"18",203.094154786813,22.1850885410639
"19",212.855691468002,23.3561221082808
"20",223.230497459989,24.608359561952
"21",234.260099106557,25.9480027852152
"22",245.988843168674,27.3817448441279
"23",258.46407108685,28.9168078333788
"24",271.736300925619,30.5609832860514
"25",285.859416888788,32.3226752590926
"26",300.890866216651,34.2109462008725
"27",316.891863189022,36.2355656999246
"28",333.927599860344,38.4070622043436
"29",352.067463044939,40.7367777891329
"30",371.385256951289,43.2369260337292
"31",391.95943073412,45.9206530537106
"32",413.873310091838,48.8021017090106
"33",437.215331884918,51.8964789855319
"34",462.079280588466,55.220126517601
"35",488.564525220077,58.7905941849737
"36",516.776255203231,62.6267166798524
"37",546.825713437969,66.7486928964424
"38",578.830424656101,71.1781679477852
"39",612.914416939454,75.9383175619197
"40",649.208434079053,81.0539345517999
"41",687.850136253092,86.5515169909601
"42",728.984286305124,92.4593576598217
"43",772.762918714378,98.8076342561073
"44",819.345488171149,105.628499787485
"45",868.89899450578,112.956172485886
"46",921.598080574141,120.827024501624
"47",977.625099580181,129.279668552434
"48",1037.17014822182,138.355041618782
"49",1100.43106198478,148.096484693604
"50",1167.61336888495,158.549817513293
"51",1238.93019797778,169.763407118879
"52",1314.60213901836,181.788229023524
"53",1394.85704977085,194.677919696626
"54",1479.92980763672,208.488819017767
"55",1099.043401749,156.296000915308
"56",1177.6293404789,169.345710495212
"57",1217.84991621464,176.088022094287
"58",1257.8909213602,182.841593840637
"59",1297.74533022877,189.603771311401
"60",1337.40697881637,196.372093436652
"61",1377.79883480786,203.304035485849
"62",1417.06425121296,210.079639378553
"63",1456.12230978488,216.85492898618
"64",1494.96953718976,223.628081408641
"65",1533.60296807036,230.397403088863
"66",1572.02009571952,237.161320247843
"67",1610.21882784419,243.918370135909
"68",1648.197446832,250.667193019583
"69",1685.95457400853,257.406524832548
"70",1723.48913743865,264.135190427144
"71",1760.80034288111,270.852097369743
"72",1797.88764755397,277.556230229491
"73",1834.75073640989,284.246645315195
"74",1871.38950065625,290.922465819918
"75",1335.46281280044,208.308014135861
"76",1383.83590243229,217.203710250629
"77",1416.83860131653,223.308258025564
"78",1449.64462508584,229.404375622814
"79",1482.25239318911,235.490832193035
"80",1514.66063077484,241.566483760373
"81",1546.86834082518,247.630267345413
"82",1578.87477885732,253.681195528212
"83",1610.67942993406,259.718351414409
"84",1642.28198775356,265.740883970896
"85",1673.68233561382,271.748003700593
"86",1704.88052906961,277.738978628719
"87",1735.87678011901,283.713130575413
"88",1766.67144277402,289.669831691828
"89",1797.26499988496,295.608501238872
"90",1827.65805110172,301.528602589589
"91",1857.85130186708,307.429640437835
"92",1887.84555334777,313.311158197398
"93",1917.6416932183,319.172735577079
"94",1947.24068722131,325.013986318472
"95",1383.65050000469,231.584189258992
"96",1425.59240139052,239.925348131876
"97",1452.17721538437,245.238652488966
"98",1478.57824524279,250.535093374955
"99",1504.79585323905,255.814087383755
"100",1530.83052461748,261.075097131502
"101",1556.68285595234,266.317628288925
"102",1582.35354450342,271.541226816788
"103",1607.8433784781,276.745476389111
"104",1633.15322811876,281.929995990172
"105",1658.28403754208,287.094437672415
"106",1683.23681726406,292.238484463452
"107",1708.01263735074,297.361848411298
"108",1732.61262114036,302.464268757834
"109",1757.03793948785,307.545510231311
"110",1781.28980548684,312.605361449405
"111",1805.36946962885,317.643633425023
"112",1829.27821536275,322.660158167644
"113",1853.01735502093,327.654787373547
"114",1876.58822608186,332.627391198788
"115",1899.99218774099,337.577857109232
"116",1923.23061776496,342.506088802413
"117",1946.30490960577,347.41200519634
"118",1969.21646975382,352.29553948077
"119",1991.96671531071,357.156638226774
"120",2014.55707176387,361.995260550724
