"","Litter_fine.roots.needles","Litter_branches"
"1",NA,NA
"2",NA,NA
"3",NA,NA
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",NA,NA
"10",NA,NA
"11",NA,NA
"12",155.393129004259,16.5703079670412
"13",162.209179249219,17.3610275498992
"14",169.439778077093,18.2042290081569
"15",177.112760041834,19.1038329435525
"16",185.257894553504,20.0640713992023
"17",193.907014952661,21.0895127632975
"18",203.094154786813,22.1850885410639
"19",212.855691468002,23.3561221082808
"20",223.230497459989,24.608359561952
"21",234.260099106557,25.9480027852152
"22",245.988843168674,27.3817448441279
"23",258.46407108685,28.9168078333788
"24",271.736300925619,30.5609832860514
"25",285.859416888788,32.3226752590926
"26",300.890866216651,34.2109462008725
"27",316.891863189022,36.2355656999246
"28",333.927599860344,38.4070622043436
"29",352.067463044939,40.7367777891329
"30",371.385256951289,43.2369260337292
"31",391.95943073412,45.9206530537106
"32",413.873310091838,48.8021017090106
"33",437.215331884918,51.8964789855319
"34",462.079280588466,55.220126517601
"35",488.564525220077,58.7905941849737
"36",516.776255203231,62.6267166798524
"37",546.825713437969,66.7486928964424
"38",578.830424656101,71.1781679477852
"39",612.914416939454,75.9383175619197
"40",649.208434079053,81.0539345517999
"41",687.850136253092,86.5515169909601
"42",728.984286305124,92.4593576598217
"43",772.762918714378,98.8076342561073
"44",819.345488171149,105.628499787485
"45",868.89899450578,112.956172485886
"46",921.598080574141,120.827024501624
"47",977.625099580181,129.279668552434
"48",1037.17014822182,138.355041618782
"49",1100.43106198478,148.096484693604
"50",1167.61336888495,158.549817513293
"51",1238.93019797778,169.763407118879
"52",1314.60213901836,181.788229023524
"53",1394.85704977085,194.677919696626
"54",1479.92980763672,208.488819017767
"55",1099.043401749,156.296000915308
"56",1177.6293404789,169.345710495212
"57",1217.84991621464,176.088022094287
"58",1257.8909213602,182.841593840637
"59",1297.74533022877,189.603771311401
"60",401.222093644911,58.9116280309957
"61",448.129694685193,67.0253009240559
"62",477.886154248901,72.2581399653919
"63",507.590023023088,77.5447093153546
"64",537.210059852714,82.8764569534625
"65",566.719430310131,88.2456659195073
"66",596.095108821985,93.6453691944927
"67",625.317369504066,99.0692739082026
"68",654.369351062069,104.511693816138
"69",683.236683798361,109.967489100166
"70",711.907168905075,115.432012651999
"71",740.370501942142,120.901062094752
"72",768.618033786353,126.370836884777
"73",796.642563463905,131.837899913724
"74",824.438158197658,137.299143099862
"75",851.999996753451,142.751756518775
"76",879.324232789612,148.193200677291
"77",906.407875426317,153.621181581802
"78",933.248684676412,159.033628293559
"79",959.84507973363,164.428672699915
"80",986.196058409943,169.804631262285
"81",1012.30112626207,175.159988529568
"82",1038.16023415604,180.493382230185
"83",1063.77372319473,185.803589777362
"84",1089.14227608282,191.089516041123
"85",1114.26687412988,196.350182256963
"86",1139.14875920007,201.584715955719
"87",1163.78940000928,206.792341811944
"88",1188.19046224862,211.972373319337
"89",1212.35378208091,217.124205211729
"90",1236.28134261492,222.247306556871
"91",1259.97525301161,227.341214458035
"92",1283.43772992012,232.40552830527
"93",1306.67108097821,237.439904524254
"94",1329.67769014446,242.444051776037
"95",1284.83700442441,235.046840237484
"96",1308.96142954394,240.333670679999
"97",1331.01563479941,245.185184064368
"98",1352.85256302882,250.005982729379
"99",1374.47478742941,254.795942803567
"100",1395.88490614909,259.554974745187
"101",1417.08553485138,264.283020417615
"102",1438.07930012446,268.980050405727
"103",1458.86883364385,273.646061552042
"104",1479.45676700826,278.281074693485
"105",1499.84572717723,282.885132581391
"106",1520.038332447,287.458297969039
"107",1540.03718890789,292.000651852449
"108",1559.84488733273,296.512291851478
"109",1579.46400045123,300.99333071948
"110",1598.89708057001,305.443894970803
"111",1618.14665750239,309.8641236164
"112",1637.21523677549,314.254166998686
"113",1656.10529808604,318.614185717545
"114",1674.81929397884,322.944349640126
"115",1693.35964872487,327.244836987676
"116",1711.72875737798,331.515833493278
"117",1729.9289849918,335.757531624846
"118",1747.9626659798,339.970129868241
"119",1765.83210360357,344.153832065794
"120",1783.53956957575,348.308846805919
