Station	StnKod	X_RAK	Y_RAK	èr	Yta	BestÜnd	ArtNr: 42	66	68	70	146	207	212	255	325	330	348	355	366	397	411	431
Aneboda	ANEB	633265	142405	2001	K 7	Hîg gran med lîv		*							*							Hîgstubbe
Aneboda	ANEB	633265	142405	2001	K 8	Hîg gran med lîv		Brott							*							
Aneboda	ANEB	633265	142405	2001	K 9	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2001	K10	Hîg gran med lîv	Hîgstubbe	*							*	Hîgstubbe				*		
Aneboda	ANEB	633265	142405	2001	L 6	Medelhîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2001	L 8	Hîg gran med lîv	TrÑngsel	Annan okÑnd skada							*							
Aneboda	ANEB	633265	142405	2001	L 9	Hîg gran med lîv		TrÑngsel							Brott							Hîgstubbe
Aneboda	ANEB	633265	142405	2001	L10	Hîg gran med tall och lîv	LÜgstubbe								*	Hîgstubbe						
Aneboda	ANEB	633265	142405	2001	M 8	Hîg gran med tall och lîv		TrÑngsel							*							
Aneboda	ANEB	633265	142405	2006	B 6	Hîg gran med tall och lîv									*	Brott						
Aneboda	ANEB	633265	142405	2006	C 5	Hîg gran med tall och lîv		VindfÑllning	VindfÑllning						*	VindfÑllning						
Aneboda	ANEB	633265	142405	2006	D 5	Hîg gran med tall och lîv									TrÑngsel	TrÑngsel						
Aneboda	ANEB	633265	142405	2006	D 6	Hîg gran med lîv			Hîgstubbe						*							
Aneboda	ANEB	633265	142405	2006	D 8	Hîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	2006	E 5	Hîg gran med tall									*							
Aneboda	ANEB	633265	142405	2006	E 6	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	2006	E 8	Hîg gran med lîv		Annan okÑnd skada				Brott			*							
Aneboda	ANEB	633265	142405	2006	F 5	Hîg gran med tall									*	VindfÑllning						
Aneboda	ANEB	633265	142405	2006	F 7	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	2006	F 9	Hîg gran med tall och lîv									*							
Aneboda	ANEB	633265	142405	2006	G 5	Hîg gran med tall och lîv									Brott	VindfÑllning						
Aneboda	ANEB	633265	142405	2006	G 8	Hîg gran med lîv		Hîgstubbe	Hîgstubbe						*							
Aneboda	ANEB	633265	142405	2006	G 9	Hîg gran med lîv		LÜgstubbe	*						*							
Aneboda	ANEB	633265	142405	2006	G10	Hîg gran med tall och lîv		*							*	*						
Aneboda	ANEB	633265	142405	2006	H 3	Medelhîg gran med tall och lîv		*							*							
Aneboda	ANEB	633265	142405	2006	H 4	Hîg gran									TrÑngsel							
Aneboda	ANEB	633265	142405	2006	H 5	Hîg gran med tall									*							
Aneboda	ANEB	633265	142405	2006	H 9	Hîg gran med lîv	TrÑngsel								*							
Aneboda	ANEB	633265	142405	2006	H10	Hîg gran med tall och lîv		Hîgstubbe							TrÑngsel	TrÑngsel						
Aneboda	ANEB	633265	142405	2006	I 3	Hîg gran med lîv		*	Brott						VindfÑllning					Brott		
Aneboda	ANEB	633265	142405	2006	I 4	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2006	I 5	Hîg gran med lîv	Varakt. nedbîjt								*							
Aneboda	ANEB	633265	142405	2006	I 7	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2006	I 9	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2006	J 2	Medelhîg gran med lîv									VindfÑllning							
Aneboda	ANEB	633265	142405	2006	J 5	Hîg gran med lîv			Brott						*							
Aneboda	ANEB	633265	142405	2006	J 7	Medelhîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2006	J 8	Medelhîg gran med lîv		*	*						*							
Aneboda	ANEB	633265	142405	2006	J10	Hîg gran med lîv		*							*	Hîgstubbe						
Aneboda	ANEB	633265	142405	2006	K 4	Medelhîg gran med lîv			*						*							
Aneboda	ANEB	633265	142405	2006	K 7	Hîg gran med lîv		*							*							Hîgstubbe
Aneboda	ANEB	633265	142405	2006	K 8	Hîg gran med lîv		*							*							VindfÑllning
Aneboda	ANEB	633265	142405	2006	K 9	Hîg gran med lîv		*	VindfÑllning						*							
Aneboda	ANEB	633265	142405	2006	K10	Hîg gran med lîv	*	*	*						*	Hîgstubbe				*		
