"","beta","eta_11","q0","e0","fc","delay","tmax_error","u0_error","zeta","lp__"
"1",7.14199800079378,0.366390431293579,1.05300790556587,0.268333195128131,0.487570704979763,0.0831878193254218,0.433202233531267,0.207101053391846,1.04201771565063,-206.228201401982
"2",7.13580769215345,0.376504737744435,0.995781952863795,0.269340197206563,0.483709085089536,0.0277285435781168,0.447798066197741,0.341083126256692,1.00971883750253,-205.409607014795
"3",7.13354992052473,0.434020102474157,1.04453996748294,0.219817812036781,0.48764359638957,0.0494938262263507,0.275219038757806,0.155140979063947,1.14635096302033,-210.976349395911
"4",7.00980385395522,0.420500664464383,1.19532064820865,0.222606944835183,0.478396704699872,0.605185879455234,0.414323418183206,0.0687115141770965,1.18475730478085,-209.661739815316
"5",7.0459271417575,0.354125539560493,0.964795320020138,0.265588337731093,0.482797908614613,0.211876584367382,0.413764051984677,0.391594919539115,1.10824343334109,-203.534590519189
"6",7.07153480087277,0.342751965276417,0.962311113455008,0.242135216842895,0.483605019295017,0.147078447077248,0.205722553711632,0.302832495567448,1.29133859376135,-207.785660216943
"7",6.99277049743057,0.363825726275753,1.09055103302207,0.274683455470523,0.485354712619251,0.0889611085004339,0.359248952977097,0.184617230115625,1.03789256735661,-205.485967046817
"8",7.02014762355944,0.328965202963116,1.14870447519664,0.286639637919007,0.472951060220852,0.00322435304217205,0.510609428289024,0.138483560020974,1.07764699143721,-208.119719470389
"9",6.97310812605735,0.337949056439739,1.01071873873565,0.2696392908409,0.471907150314302,0.0487082797472407,0.453416039642959,0.289899634402239,1.14941427808618,-205.373160721257
"10",6.9808364312284,0.377488639563867,1.01575900818904,0.24400611972697,0.478190556572536,0.0820085074592519,0.389461458411188,0.238171067535094,1.17572624546595,-204.500638284601
"11",7.07097347908003,0.363860017322874,0.850375992091925,0.269435637900602,0.473482453678964,0.209217026222737,0.330643645323631,0.945795756281863,1.05387693564382,-204.481099549664
"12",7.05751775674187,0.351411753776111,0.838001536768716,0.277287670485499,0.476765475455628,0.148751360413875,0.505347137166448,1.24308576543157,1.0509127032619,-203.306990631982
"13",7.10857577646637,0.360533567036233,0.859223330961005,0.275278548783868,0.477649512429615,0.216840209064621,0.508362218344855,0.943279005294085,1.02723650250217,-203.682725702982
"14",7.05309058344448,0.342166354557398,1.03461277589823,0.283376459769729,0.479378730278805,0.320008332078246,0.579816972845265,0.275900097599139,1.047877548448,-203.948472219704
"15",7.00229002844124,0.347223655036722,1.07853554528023,0.282932652532981,0.477945207001493,0.122235003558095,0.57558402274271,0.20919253411872,1.04238337557325,-203.007433013212
"16",6.93740383741546,0.352264055552135,0.869236426453595,0.246406457966118,0.475162009746009,0.188972891119323,0.347929859234807,0.684225231850976,1.2514680750727,-205.467310055511
"17",6.93763110283306,0.341809182517815,0.933481603476842,0.286552606030908,0.481840765497512,0.0434190134824423,0.503900752907671,0.544047931039676,1.04993560747409,-202.994719194652
"18",7.05194099067184,0.2879051254146,0.97075972063112,0.293486242322196,0.480547224465035,0.376453600080277,0.51620871760264,0.441763242602257,1.18569997134739,-206.610886084232
"19",7.07419488744686,0.27677089089939,1.03668046081772,0.333162852179791,0.481048648700773,0.28165515028851,0.540673325132272,0.345343327207748,1.02227039113306,-205.662479475288
"20",7.09231143157619,0.263822507627165,0.981537918553019,0.344373231886623,0.482558335287182,0.469673907727854,0.690075790357308,0.632824804226265,1.01748414058583,-209.230770681425
"21",7.12989378147618,0.239260352771476,1.02542455854337,0.325736079390733,0.483025860891853,0.0946096192421885,0.389617154498322,0.3302563535508,1.21341751092896,-211.637185069013
"22",6.9392359516409,0.242158325117001,0.936098098261177,0.351229261983878,0.481116787890125,0.292342032084647,0.403712571879232,0.702039332067366,1.09923235542425,-208.407596999428
"23",6.98431868562371,0.245462256735716,0.851203742123106,0.358380984187538,0.477524723011075,0.209402490277522,0.413012324802445,1.46119614503772,1.04429572169823,-207.724898529082
"24",6.93587581390775,0.252868778457989,0.824340732438251,0.357722040328828,0.474825169959625,0.224976819486417,0.333838566135155,1.76211959333508,1.02371908721786,-209.358975566415
"25",6.95987822237353,0.254315816085682,0.799439882433521,0.348651163311408,0.474496383116413,0.271566599144556,0.348428070099683,2.17690780336348,1.05547393373785,-211.364427073954
"26",7.00959619936683,0.265969091275655,0.822209462327276,0.34145326624444,0.470791353298666,0.199488097611006,0.378723410241022,1.78758389743602,1.03450158133875,-209.052635395787
"27",7.09305661839271,0.277889321570327,0.873196208139156,0.331114210511587,0.463919735980753,0.340942775050553,0.375795503761905,1.0746083887061,1.02487019803502,-212.055814891008
"28",7.11614395130744,0.284630584270105,0.948886358269326,0.32608161777197,0.468569646321021,0.192462786443894,0.419928019539274,0.61934990092977,1.02036298727646,-207.98163080449
"29",7.1667634345509,0.284446610482808,0.910847749954946,0.325263420511117,0.472869134854038,0.255791790163464,0.4109792704266,0.80273753270672,1.0175955478419,-207.933590622161
"30",7.15648488196608,0.274886433266919,0.919313819813184,0.324449626502773,0.470352676142154,0.0838372268749847,0.420108947513606,0.707406335814118,1.05841843481015,-209.672366763877
"31",7.06039837548833,0.292681217336282,0.882299457831433,0.270810469095956,0.479211547310974,0.0201944854335335,0.433671004292091,0.76378088492056,1.30301950356737,-208.205307737292
"32",7.08306440317389,0.335075966584288,1.06549644376335,0.291908495112647,0.47828841439309,0.0365710854317464,0.448160213711953,0.213566697778362,1.02206420923619,-204.429921957422
"33",7.04578431264133,0.311993750773141,0.914057042660345,0.293378496572645,0.473283534416543,0.280825066068288,0.357758333358872,0.601336252560597,1.09567898309401,-206.091976303989
