"","beta","eta_11","q0","e0","fc","delay","tmax_error","u0_error","zeta","lp__"
"1",2.90148583439569,0.468015293859563,0.208582044880606,0.424065659219355,0.486247325347847,0.62507821736354,0.282557930764593,6.58820536489341,1.00013671389086,-2045.05390132384
"2",2.9020526409763,0.467959279586686,0.208567128300245,0.424019530163865,0.486337782636875,0.625104692822539,0.282520257891563,6.58839666214703,1.00024997137778,-2044.65741889209
"3",2.90183102037673,0.467930878463116,0.208584265815655,0.424107812108384,0.48632967863418,0.625022549474656,0.282510864122469,6.58879734076936,1.00002553842859,-2044.82671527288
"4",2.90093318482379,0.467935251738755,0.208578477936942,0.424147806666223,0.486341906312328,0.625023931359946,0.282511084744286,6.58857376687868,1.00016190748489,-2045.4889311139
"5",2.90201563259804,0.467941786605777,0.208585722040038,0.42405691262001,0.486343310645436,0.624935196791978,0.282493886707758,6.58776528755206,1.00014702299976,-2044.6677118007
"6",2.90060821286268,0.4678934251197,0.208578725031486,0.423906169449658,0.486258058182374,0.624923763923415,0.282479163428186,6.58727779591338,1.00135362025901,-2045.61500548911
"7",2.90403686653571,0.46787427713035,0.208599559366174,0.42348038646789,0.486221452185192,0.624876896598519,0.282448000437617,6.58839657693354,1.00195794085636,-2043.00287182294
"8",2.91699954081812,0.467829641478165,0.208649675031891,0.42243135478342,0.486270126531708,0.624576312035799,0.282514791229346,6.58952301322623,1.00189766989654,-2033.34593141041
"9",2.92850504900071,0.468021479073758,0.208605732415168,0.421705968673047,0.486402447014666,0.624723264180658,0.28244025434742,6.5897724596725,1.00052328444377,-2024.98573497054
"10",2.92891208801676,0.468084594917027,0.208619708499516,0.421572325129785,0.486341098301229,0.62469076686265,0.28241486192854,6.58951796992566,1.00079767033283,-2024.63277599423
"11",2.93498795791919,0.468087429548052,0.208608759867331,0.421069119035468,0.486251910343762,0.624633105181004,0.282402403578757,6.5900938084373,1.00078323689704,-2020.14933634359
"12",2.93850615975778,0.468081594376937,0.20859890883127,0.420484691152162,0.486294723310414,0.624609717717512,0.282391131013463,6.58934683672905,1.00199730729086,-2017.4642835999
"13",2.940920800833,0.468210505879055,0.208532688439439,0.420260409252888,0.486233574340618,0.624674131969014,0.282385576585898,6.58908869016628,1.00182069095256,-2015.749046128
"14",2.94600609241512,0.468174463012507,0.208564696819667,0.419894331104496,0.486178787663526,0.624654249035795,0.282424129963802,6.59054891803126,1.00167246694687,-2011.9862074172
"15",2.95422688676369,0.468082265275501,0.208631461432861,0.41938435280468,0.486127182553756,0.624655233839669,0.28230750521229,6.59177750618396,1.00117611332985,-2005.91231791757
"16",2.98107549130909,0.467948149039694,0.208620648687287,0.417150011629951,0.486081426705154,0.624910859537909,0.282424071705292,6.59377386694559,1.00159886633197,-1986.21079225306
"17",2.98552220945572,0.468000014079729,0.208650391625113,0.417048408869764,0.485988545159374,0.624793985133232,0.282418275025398,6.59300480980542,1.0004142079985,-1982.99094787626
"18",2.98534474585673,0.46799628367207,0.208671544481055,0.416879193410218,0.485986498459164,0.624749313622761,0.282464904273497,6.59295715767764,1.00117828921043,-1983.03895223324
"19",2.98292509961375,0.468050787767795,0.208687326916243,0.416728840999628,0.485914132250324,0.624817504370607,0.28241944485926,6.59423423931626,1.00249361494553,-1984.69652110741
"20",2.99879555910751,0.468056197696573,0.208755062004149,0.415964190027313,0.485928781614693,0.624801903342438,0.282315616151304,6.59277429513279,1.00031935745707,-1973.17849502509
"21",2.99923162624059,0.468134115031831,0.208725857859948,0.415828505827297,0.485859626666652,0.624719347968407,0.282417885114716,6.59218904051488,1.00056614693004,-1972.85196273674
"22",3.00774502192242,0.468260145701851,0.208691027022057,0.414648183019997,0.485993036841288,0.624825618386676,0.282389844848518,6.59093602226129,1.00232598978274,-1966.54782547171
"23",3.00799506847312,0.468362723568569,0.208706410530718,0.414553004533618,0.485858907572821,0.624925356598342,0.282381057462711,6.59247329606026,1.00241618861459,-1966.33887991749
"24",3.01576163878355,0.468351950482141,0.208663113766916,0.414456906576952,0.485911115520323,0.624921931585837,0.282355674737857,6.59039951019152,1.00025362917813,-1960.87781452236
"25",3.01456814676074,0.468352220998749,0.208655776344854,0.414589352738484,0.485925294710094,0.62490771793091,0.282343802633438,6.59061739321214,1.00010312069835,-1961.76868600104
"26",3.01494410447628,0.468174467576861,0.208623673177992,0.414233054567493,0.485983296059799,0.625152106839542,0.282341653723659,6.59021872023273,1.00182789352607,-1961.41771069606
"27",3.02253511950111,0.46822207126141,0.208635591384233,0.413770283488414,0.486044438981444,0.625130051865935,0.282323837938733,6.59044739235783,1.0011180575678,-1955.94913034892
"28",3.01851205621875,0.46813907740045,0.208629726007492,0.414025364914168,0.485975568388329,0.625103268282908,0.282261422850058,6.59046645651828,1.00157634499797,-1958.84235240394
